City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
395,Tautira,PF,82.42,-17.7333,-149.15,Pension Oaoa
400,Itarema,BR,82.22,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
404,Livingstone,ZM,77.4,-17.8419,25.8543,Gloria's Bed and Breakfast
408,Beira,MZ,75.29,-19.8436,34.8389,Beira Terrace Hotel
415,Buchanan,LR,76.96,5.8808,-10.0467,Kamaneahn Hotel Inc
417,Angoche,MZ,75.09,-16.2325,39.9086,Guest House HESADA
422,Bayshore Gardens,US,75.97,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
423,Pilar,BR,82.33,-9.5972,-35.9567,Pousada e churrascaria Manguaba
426,Hirara,JP,75.58,24.8,125.2833,Hotel Atoll Emerald Miyakojima
427,Laguna,US,74.23,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
429,Ixtapa,MX,86.23,20.7,-105.2,Hotel Plaza Providencia
433,Atambua,ID,75.88,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
435,Miandrivazo,MG,74.32,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
437,Samana,DO,89.82,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
438,Hope,US,71.65,33.6671,-93.5916,Best Western Hope
440,Nizwa,OM,76.21,22.9333,57.5333,Orient Apartments
443,Sorong,ID,77.99,-0.8833,131.25,waigo splash hotel
445,La Palma,US,84.67,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
446,Matamoros,MX,80.82,25.5333,-103.25,Quinta Belem
451,Road Town,VG,86.04,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
452,Sur,OM,81.37,22.5667,59.5289,Sur Plaza Hotel
459,Sulphur,US,73.36,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
462,Vao,NC,70.79,-22.6667,167.4833,Hotel Kou-Bugny
464,Maceio,BR,83.64,-9.6658,-35.7353,Poutur Pousada
472,Sibolga,ID,76.51,1.7427,98.7792,Hotel Syariah CN Darussalam
475,Lamu,KE,80.82,-2.2717,40.902,Lamu House
476,Qeshm,IR,76.89,26.9581,56.2719,Qeshm Kavan Hotel
477,Kaduna,NG,75.87,10.5222,7.4383,HAMDALA HOTEL
