City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Arraial Do Cabo,BR,2021-10-26 09:40:45,-22.9661,-42.0278,69.66,88,75,5.75
151,Henties Bay,NA,2021-10-26 09:40:45,-22.116,14.2845,62.85,64,4,7.31
152,Olafsvik,IS,2021-10-26 09:40:46,64.8945,-23.7142,39.09,76,93,20.76
153,Shihezi,CN,2021-10-26 09:40:46,44.3,86.0333,54.32,24,0,5.95
154,Honiara,SB,2021-10-26 09:37:27,-9.4333,159.95,79.02,87,100,6.89
155,Zhigansk,RU,2021-10-26 09:40:47,66.7697,123.3711,25.0,97,100,9.51
156,Shitanjing,CN,2021-10-26 09:40:47,39.2342,106.3439,48.74,28,81,4.18
157,Berck,FR,2021-10-26 09:40:48,50.4,1.6,58.98,77,75,6.91
158,Bengkulu,ID,2021-10-26 09:40:48,-3.8004,102.2655,81.34,77,100,3.53
159,Praia,CV,2021-10-26 09:40:48,14.9215,-23.5087,77.54,83,20,17.27
160,Japura,ID,2021-10-26 09:40:49,-0.3167,102.35,82.08,86,100,1.83
161,Mankono,CI,2021-10-26 09:40:49,8.0586,-6.1897,80.11,74,43,5.79
162,Thompson,CA,2021-10-26 09:39:37,55.7435,-97.8558,35.76,80,75,5.75
163,Dinan,FR,2021-10-26 09:40:50,48.4167,-2.25,58.46,16,80,13.06
164,Thunder Bay,CA,2021-10-26 09:38:39,48.4001,-89.3168,37.56,93,40,2.3
165,Pevek,RU,2021-10-26 09:40:50,69.7008,170.3133,6.82,95,100,5.53
166,Lipari,IT,2021-10-26 09:40:51,38.4674,14.954,67.73,83,100,21.5
167,Shelburne,CA,2021-10-26 09:40:51,44.0787,-80.2041,39.18,99,100,14.38
168,Garowe,SO,2021-10-26 09:40:51,8.4054,48.4845,89.1,35,29,4.16
169,Fukue,JP,2021-10-26 09:40:52,32.6881,128.8419,62.96,72,75,2.3
170,Asau,RO,2021-10-26 09:40:52,46.4333,26.4,47.75,30,2,5.5
171,Port Blair,IN,2021-10-26 09:40:52,11.6667,92.75,83.3,74,29,8.68
172,Rio Grande,BR,2021-10-26 09:40:53,-32.035,-52.0986,59.95,79,0,5.97
173,Geraldton,AU,2021-10-26 09:40:53,-28.7667,114.6,63.01,63,40,12.66
174,George,ZA,2021-10-26 09:40:53,-33.963,22.4617,67.55,60,0,4.61
175,Vestmannaeyjar,IS,2021-10-26 09:40:54,63.4427,-20.2734,43.79,81,75,34.52
176,Genhe,CN,2021-10-26 09:40:54,50.7833,121.5167,31.73,79,73,4.41
177,Anakapalle,IN,2021-10-26 09:40:54,17.6833,83.0167,89.55,57,6,7.72
178,Lebu,CL,2021-10-26 09:40:55,-37.6167,-73.65,52.09,94,24,14.56
179,San Cristobal,VE,2021-10-26 09:40:55,7.7669,-72.225,64.2,96,50,1.39
180,Wasilla,US,2021-10-26 09:40:55,61.5814,-149.4394,36.75,72,1,3.0
181,Naze,JP,2021-10-26 09:40:56,28.3667,129.4833,67.12,66,0,10.45
182,Sao Joao Da Barra,BR,2021-10-26 09:40:56,-21.6403,-41.0511,69.89,93,100,6.11
183,Peniche,PT,2021-10-26 09:39:41,39.3558,-9.3811,68.61,64,1,10.07
184,Tura,IN,2021-10-26 09:40:56,25.5198,90.2201,76.69,80,31,2.77
185,Guerrero Negro,MX,2021-10-26 09:40:57,27.9769,-114.0611,68.04,69,100,13.98
186,Sobolevo,RU,2021-10-26 09:40:57,54.4299,31.8996,43.11,51,100,15.21
187,Hithadhoo,MV,2021-10-26 09:40:58,-0.6,73.0833,83.3,73,100,18.16
188,Saint-Philippe,RE,2021-10-26 09:40:58,-21.3585,55.7679,83.79,77,34,14.05
189,Komsomolskiy,UZ,2021-10-26 09:40:58,40.4272,71.7189,66.92,19,98,4.61
190,Rocha,UY,2021-10-26 09:40:59,-34.4833,-54.3333,57.13,76,0,6.33
191,Kavaratti,IN,2021-10-26 09:40:59,10.5669,72.642,81.37,77,99,14.7
192,Oranjemund,NA,2021-10-26 09:41:00,-28.55,16.4333,70.12,56,0,11.3
193,Verkhoyansk,RU,2021-10-26 09:41:00,67.5447,133.385,-0.45,99,90,0.89
194,Rapid Valley,US,2021-10-26 09:41:00,44.0625,-103.1463,61.86,82,1,5.01
195,Fria,GN,2021-10-26 09:41:01,10.4167,-13.5833,72.21,91,99,1.57
196,Fort Nelson,CA,2021-10-26 09:41:01,58.8053,-122.7002,29.79,100,90,2.3
197,Hay River,CA,2021-10-26 09:38:47,60.8156,-115.7999,37.38,93,90,4.61
198,Laguna,US,2021-10-26 09:41:02,38.421,-121.4238,55.29,91,1,1.99
199,Tasiilaq,GL,2021-10-26 09:41:03,65.6145,-37.6368,37.56,85,100,3.4
200,Lagoa,PT,2021-10-26 09:41:03,39.05,-27.9833,68.85,83,84,20.29
201,Ilhabela,BR,2021-10-26 09:41:04,-23.7781,-45.3581,68.47,89,99,0.34
202,Abbeville,FR,2021-10-26 09:41:04,50.1,1.8333,58.96,82,98,14.03
203,Bambanglipuro,ID,2021-10-26 09:41:04,-7.95,110.2833,80.22,70,100,10.78
204,Coahuayana,MX,2021-10-26 09:41:05,18.7333,-103.6833,73.26,90,100,4.12
205,Berdigestyakh,RU,2021-10-26 09:41:05,62.0989,126.6992,29.35,94,98,2.51
206,Tsabong,BW,2021-10-26 09:41:05,-26.0217,22.401,86.63,25,0,12.39
207,Garden City,US,2021-10-26 09:41:06,42.3256,-83.331,46.85,87,90,1.01
208,Najran,SA,2021-10-26 09:41:06,17.4924,44.1277,83.05,8,7,9.62
209,Ribeira Grande,PT,2021-10-26 09:41:06,38.5167,-28.7,68.4,94,75,10.36
210,Acopiara,BR,2021-10-26 09:41:07,-6.0953,-39.4525,77.74,59,3,7.76
211,Manokwari,ID,2021-10-26 09:40:31,-0.8667,134.0833,81.32,80,26,6.76
212,Plettenberg Bay,ZA,2021-10-26 09:41:07,-34.0527,23.3716,68.83,67,100,15.95
213,Little Current,CA,2021-10-26 09:41:08,45.9793,-81.9248,39.29,78,66,18.77
214,Norman Wells,CA,2021-10-26 09:41:08,65.282,-126.8329,23.04,93,75,3.44
215,Aitape,PG,2021-10-26 09:41:08,-3.1374,142.3475,80.44,81,77,5.03
216,Oakdale,US,2021-10-26 09:38:31,44.963,-92.9649,42.62,81,1,8.05
217,Nanortalik,GL,2021-10-26 09:41:09,60.1432,-45.2371,34.48,64,83,8.99
218,Haines Junction,CA,2021-10-26 09:41:09,60.7522,-137.5108,29.82,81,100,2.01
219,Novoanninskiy,RU,2021-10-26 09:41:10,50.5287,42.6747,43.39,37,14,8.12
220,Maldonado,UY,2021-10-26 09:41:10,-34.6667,-54.9167,60.22,75,1,5.97
221,Sisimiut,GL,2021-10-26 09:41:10,66.9395,-53.6735,17.83,64,0,11.1
222,Quatre Cocos,MU,2021-10-26 09:41:11,-20.2078,57.7625,79.09,68,9,15.86
223,Morogoro,TZ,2021-10-26 09:41:11,-6.8167,37.6667,92.32,32,21,6.02
224,Ambilobe,MG,2021-10-26 09:41:11,-13.2,49.05,97.68,23,26,7.11
225,Stephenville,US,2021-10-26 09:41:12,32.2207,-98.2023,71.92,94,1,8.05
226,Esperance,AU,2021-10-26 09:40:12,-33.8667,121.9,55.24,83,100,14.03
